grid_id,lon_center,lat_center,elevation
8,116.31912384200017,29.64219551618924,26.314058
9,116.41912384200016,29.64219551618924,69.1395
10,116.51912384200016,29.64219551618924,319.48383
67,115.71912384200016,29.74219551618924,37.534935
68,115.81912384200017,29.74219551618924,14.386546
69,115.91912384200016,29.74219551618924,16.662016
70,116.01912384200016,29.74219551618924,23.032518
71,116.11912384200016,29.74219551618924,26.819002
72,116.21912384200016,29.74219551618924,94.844826
73,116.31912384200017,29.74219551618924,28.029636
74,116.41912384200016,29.74219551618924,35.512863
75,116.51912384200016,29.74219551618924,269.9327
76,116.61912384200016,29.74219551618924,275.4602
77,116.71912384200016,29.74219551618924,209.68988
130,115.51912384200016,29.84219551618924,13.5
131,115.61912384200016,29.84219551618924,13.5
132,115.71912384200016,29.84219551618924,17.642326
133,115.81912384200017,29.84219551618924,19.341227
134,115.91912384200016,29.84219551618924,15.885947
135,116.01912384200016,29.84219551618924,12.5
136,116.11912384200016,29.84219551618924,13.617511
137,116.21912384200016,29.84219551618924,14.6669235
138,116.31912384200017,29.84219551618924,14.550069
139,116.41912384200016,29.84219551618924,26.538685
140,116.51912384200016,29.84219551618924,22.226442
141,116.61912384200016,29.84219551618924,67.0
142,116.71912384200016,29.84219551618924,129.8106
143,116.81912384200017,29.84219551618924,167.02158
144,116.91912384200016,29.84219551618924,109.41728
145,117.01912384200016,29.84219551618924,246.23837
146,117.11912384200016,29.84219551618924,290.73038
195,115.51912384200016,29.94219551618924,19.533373
196,115.61912384200016,29.94219551618924,39.637707
197,115.71912384200016,29.94219551618924,12.786771
198,115.81912384200017,29.94219551618924,12.414077
199,115.91912384200016,29.94219551618924,12.0
200,116.01912384200016,29.94219551618924,10.912287
201,116.11912384200016,29.94219551618924,10.0
202,116.21912384200016,29.94219551618924,10.0
203,116.31912384200017,29.94219551618924,11.752935
204,116.41912384200016,29.94219551618924,12.2022705
205,116.51912384200016,29.94219551618924,12.633276
206,116.61912384200016,29.94219551618924,33.300106
207,116.71912384200016,29.94219551618924,131.2914
208,116.81912384200017,29.94219551618924,559.45386
209,116.91912384200016,29.94219551618924,242.4096
210,117.01912384200016,29.94219551618924,133.68933
211,117.11912384200016,29.94219551618924,191.85968
212,117.21912384200016,29.94219551618924,500.1808
218,117.81912384200017,29.94219551618924,331.2233
219,117.91912384200016,29.94219551618924,216.99324
260,115.51912384200016,30.042195516189235,65.725815
261,115.61912384200016,30.042195516189235,100.321846
262,115.71912384200016,30.042195516189235,56.330063
263,115.81912384200017,30.042195516189235,20.293972
264,115.91912384200016,30.042195516189235,15.66227
265,116.01912384200016,30.042195516189235,26.207714
266,116.11912384200016,30.042195516189235,20.795156
267,116.21912384200016,30.042195516189235,21.712036
268,116.31912384200017,30.042195516189235,9.0
269,116.41912384200016,30.042195516189235,10.0
270,116.51912384200016,30.042195516189235,11.415652
271,116.61912384200016,30.042195516189235,13.972285
272,116.71912384200016,30.042195516189235,6.5
273,116.81912384200017,30.042195516189235,28.381672
274,116.91912384200016,30.042195516189235,153.5591
275,117.01912384200016,30.042195516189235,31.058384
276,117.11912384200016,30.042195516189235,245.88382
277,117.21912384200016,30.042195516189235,223.98993
278,117.31912384200017,30.042195516189235,164.80316
279,117.41912384200016,30.042195516189235,613.13074
280,117.51912384200016,30.042195516189235,1016.3514
281,117.61912384200016,30.042195516189235,134.69685
282,117.71912384200016,30.042195516189235,699.34033
283,117.81912384200017,30.042195516189235,925.40265
284,117.91912384200016,30.042195516189235,937.9235
285,118.01912384200016,30.042195516189235,855.1698
286,118.11912384200016,30.042195516189235,427.56372
287,118.21912384200016,30.042195516189235,546.94763
288,118.31912384200017,30.042195516189235,387.64618
326,115.61912384200016,30.14219551618924,67.54456
327,115.71912384200016,30.14219551618924,348.0145
328,115.81912384200017,30.14219551618924,52.5
329,115.91912384200016,30.14219551618924,43.946087
330,116.01912384200016,30.14219551618924,48.242
331,116.11912384200016,30.14219551618924,20.334805
332,116.21912384200016,30.14219551618924,33.78406
333,116.31912384200017,30.14219551618924,23.112589
334,116.41912384200016,30.14219551618924,9.0
335,116.51912384200016,30.14219551618924,10.357821
336,116.61912384200016,30.14219551618924,10.4982605
337,116.71912384200016,30.14219551618924,13.877105
338,116.81912384200017,30.14219551618924,14.84879
339,116.91912384200016,30.14219551618924,22.191483
340,117.01912384200016,30.14219551618924,15.532761
341,117.11912384200016,30.14219551618924,252.72873
342,117.21912384200016,30.14219551618924,157.43321
343,117.31912384200017,30.14219551618924,658.5309
344,117.41912384200016,30.14219551618924,171.30016
345,117.51912384200016,30.14219551618924,284.2419
346,117.61912384200016,30.14219551618924,92.480515
347,117.71912384200016,30.14219551618924,296.17023
348,117.81912384200017,30.14219551618924,192.62102
349,117.91912384200016,30.14219551618924,369.27795
350,118.01912384200016,30.14219551618924,291.59113
351,118.11912384200016,30.14219551618924,620.09265
352,118.21912384200016,30.14219551618924,1112.6532
353,118.31912384200017,30.14219551618924,413.19254
354,118.41912384200016,30.14219551618924,862.73865
355,118.51912384200016,30.14219551618924,401.01193
356,118.61912384200016,30.14219551618924,244.35143
357,118.71912384200016,30.14219551618924,296.01288
358,118.81912384200017,30.14219551618924,880.16235
365,119.51912384200016,30.14219551618924,139.97334
366,119.61912384200016,30.14219551618924,493.69095
367,119.71912384200016,30.14219551618924,314.288
368,119.81912384200017,30.14219551618924,250.95052
369,119.91912384200016,30.14219551618924,153.26602
393,115.81912384200017,30.24219551618924,729.5743
394,115.91912384200016,30.24219551618924,568.6821
395,116.01912384200016,30.24219551618924,93.972206
