grid_id,lon_center,lat_center,MU_GLOBAL,T_SAND,T_CLAY,T_SILT,T_OC,T_GRAVEL,T_REF_BULK_DENSITY,T_ECE,S_SAND,S_CLAY,S_SILT,S_OC,S_GRAVEL,S_REF_BULK_DENSITY,S_ECE
1811,121.1191,32.3422,11499.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
1812,121.2191,32.3422,11496.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
1845,118.0191,32.4422,11389.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1846,118.1191,32.4422,11372.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
1847,118.2191,32.4422,11645.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1848,118.3191,32.4422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
1849,118.4191,32.4422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
1850,118.5191,32.4422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
1851,118.6191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1852,118.7191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1853,118.8191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1854,118.9191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1855,119.0191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1856,119.1191,32.4422,11627.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1857,119.2191,32.4422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1858,119.3191,32.4422,11649.0000,90.0000,4.0000,6.0000,2.4100,10.0000,1.7400,0.1000,89.0000,5.0000,6.0000,0.8800,10.0000,1.7000,0.1000
1862,119.7191,32.4422,11655.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1863,119.8191,32.4422,11655.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1864,119.9191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1865,120.0191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1866,120.1191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1867,120.2191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1868,120.3191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1869,120.4191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1870,120.5191,32.4422,11493.0000,80.0000,8.0000,12.0000,0.5800,18.0000,1.6200,0.1000,79.0000,10.0000,11.0000,0.2400,10.0000,1.5900,0.1000
1911,118.1191,32.5422,11390.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1912,118.2191,32.5422,11390.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1913,118.3191,32.5422,11392.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1914,118.4191,32.5422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
1915,118.5191,32.5422,11373.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
1916,118.6191,32.5422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
1917,118.7191,32.5422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1918,118.8191,32.5422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1919,118.9191,32.5422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1920,119.0191,32.5422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1931,120.1191,32.5422,11655.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1932,120.2191,32.5422,11655.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1933,120.3191,32.5422,11655.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
1935,120.5191,32.5422,11496.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
1977,118.2191,32.6422,11390.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1978,118.3191,32.6422,11390.0000,42.0000,21.0000,37.0000,1.3900,19.0000,1.4100,0.1000,46.0000,20.0000,34.0000,0.6000,26.0000,1.4200,0.1000
1979,118.4191,32.6422,11372.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
1980,118.5191,32.6422,11373.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
1981,118.6191,32.6422,11877.0000,42.0000,20.0000,38.0000,1.1400,4.0000,1.4100,0.1000,28.0000,43.0000,29.0000,0.3700,4.0000,1.2700,0.1000
1982,118.7191,32.6422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
2043,118.3191,32.7422,11373.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
2044,118.4191,32.7422,11373.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
2045,118.5191,32.7422,11373.0000,32.0000,21.0000,47.0000,6.7400,4.0000,1.3800,0.1000,34.0000,22.0000,44.0000,1.9900,9.0000,1.3800,0.1000
